subject_code,name,hours_per_week,num_assignments,hours_per_assignment,assignment_weight,avg_assignment_grade,project_weight,avg_project_grade,exam_count,avg_exam_grade,exam_weight,avg_final_grade,Seats,Enrollments
CS5001,Intensive Foundations of Computer Science,15,7,10,0.45,87,0.0,0,2,85,0.55,84,260,255
CS5002,Discrete Structures,15,6,5,0.3,82,0.3,85,1,82,0.4,82,263,283
CS5004,Object-Oriented Design,12,5,6,0.35,92,0.25,90,1,88,0.4,92,241,239
CS5008,"Data Structures, Algorithms, and Their Applications within Computer Systems",10,6,5,0.35,94,0.25,92,1,90,0.4,94,264,311
CS5010,Programming Design Paradigm,15,5,6,0.3,88,0.3,90,1,87,0.4,88,236,234
CS5047,Exploring AI Trends and Tools,10,4,6,0.5,88,0.3,90,1,88,0.2,89,286,280
CS5097,Mixed Reality,8,4,5,0.4,85,0.3,87,1,86,0.3,86,282,313
CS5100,Foundations of Artificial Intelligence,10,9,6,0.6,95,0.4,90,1,90,0.0,90,272,271
CS5150,Game Artificial Intelligence,10,5,5,0.35,87,0.35,89,1,88,0.3,88,264,260
CS5170,Artificial Intelligence for Human-Computer Interaction,10,5,6,0.4,86,0.3,88,1,87,0.3,87,259,254
CS5180,Reinforcement Learning and Sequential Decision Making,12,5,6,0.4,88,0.3,90,1,89,0.3,89,235,226
CS5200,Database Management Systems,10,7,10,0.23,90,0.2,95,4,88,0.54,89,225,219
CS5310,Computer Graphics,10,5,5,0.35,87,0.3,89,1,88,0.35,88,200,198
CS5330,Pattern Recognition and Computer Vision,12,5,6,0.4,86,0.3,88,1,87,0.3,87,222,216
CS5335,Robotic Science and Systems,12,5,6,0.4,88,0.3,90,1,89,0.3,89,291,281
CS5340,Computer/Human Interaction,10,5,5,0.35,85,0.3,87,1,86,0.35,86,292,339
CS5350,Applied Geometric Representation and Computation,5,5,4,0.35,86,0.3,89,1,88,0.35,87,281,273
CS5360,Noninteractive Computer Graphics,4,5,4,0.4,84,0.25,87,1,85,0.35,85,214,212
CS5400,Principles of Programming Language,4,6,4,0.3,87,0.3,90,1,88,0.4,88,268,262
CS5500,Foundations of Software Engineering,5,6,4,0.3,85,0.4,89,1,86,0.3,87,228,236
CS5520,Mobile Application Development,6,6,5,0.3,85,0.4,88,1,85,0.3,86,215,250
CS5540,Game Programming,5,5,4,0.35,83,0.3,86,1,84,0.35,85,287,285
