subject_code,outcome
CS5001,Python
CS5001,Problem Solving
CS5002,Discrete Mathematics
CS5002,Graph Theory
CS5002,Combinatorics
CS5002,Logic
CS5002,Set Theory
CS5004,Object-Oriented Programming
CS5004,Design Patterns
CS5004,UML
CS5004,Java
CS5004,C++
CS5004,C#
CS5008,Algorithms
CS5008,Data Structures
CS5008,Complexity Analysis
CS5008,Java
CS5008,C++
CS5010,Python
CS5010,Java
CS5010,Haskell
CS5047,Artificial Intelligence
CS5047,TensorFlow
CS5047,PyTorch
CS5097,Unity
CS5097,Unreal Engine
CS5097,Virtual Reality
CS5097,Augmented Reality
CS5097,Extended Reality
CS5097,Development
CS5097,3D Interaction
CS5097,Spatial Computing
CS5100,Search Algorithms
CS5100,Knowledge Representation
CS5100,Logic
CS5100,Python
CS5100,Artificial Intelligence
CS5100,Machine Learning
CS5100,Natural Language Processing
CS5100,Reinforcement Learning
CS5150,Artificial Intelligence
CS5150,Game Development
CS5150,Pathfinding
CS5170,Artificial Intelligence
CS5170,Human-Computer Interaction
CS5170,User Interface Design
CS5180,Reinforcement Learning
CS5180,Markov
CS5180,Decision
CS5200,SQL
CS5200,Database Design
CS5310,Computer Graphics
CS5310,2D Graphics
CS5310,3D Graphics
CS5330,Computer Vision
CS5330,Pattern Recognition
CS5335,Robotics
CS5335,Kinematics
CS5340,Human-Computer Interaction
CS5340,User Interface Design
CS5340,User Experience Design
CS5350,Geometric transformations
CS5350,3D modeling techniques
CS5360,Ray tracing
CS5360,rasterization
CS5360,saders
CS5400,Programming paradigms
CS5400,language design
CS5500,Object-Oriented Design
CS5500,Software Development Life Cycle
CS5500,Unit Testing
CS5500,Agile Methodology
CS5520,Java
CS5520,Kotlin
CS5520,Android Studio
CS5520,Firebase
CS5520,MVVM
CS5540,Unity
CS5540,Unreal Engine
CS5600,Memory Management
CS5600,C
CS5610,HTML
CS5610,CSS
CS5610,JavaScript
CS5610,React
CS5610,Node.js
CS5610,RESTful APIs
CS5610,Web Security
CS5700,TCP/IP
CS5700,Routing Algorithms
CS5800,Dynamic Programming
CS5800,Sorting Algorithms
CS5800,Searching Algorithms
CS5800,Graph Algorithms
CS5800,Divide-and-Conquer
CS5800,Complexity Analysis
CS5850,Engine architecture
CS5850,Entity-Component Systems
CS5850,Physics Simulation
CS5850,Rendering Optimization
CS5850,C++
CS5933,Teaching methodologies
CS5934,Equity in CS education
CS5934,accessibility
CS5964,Project management
CS5965,Industry collaboration
CS6200,TF-IDF
CS6200,PageRank
CS6200,vector space models
CS6200,IR models
DS5010,Python
DS5010,R
DS5010,Pandas
DS5010,Jupyter Notebooks
DS5010,Data Cleaning
DS5010,Data Processing
DS5020,Statistics
DS5020,Probability
DS5020,Linear Algebra
DS5020,Python
DS5110,SQL
DS5110,ETL Pipelines
DS5110,Data Warehousing
DS5110,Apache Spark
DS5220,Python
DS5220,R
DS5220,MATLAB
DS5220,Algorithms
DS5220,SVMs
DS5220,Decision Trees
DS5220,Overfitting
DS5220,Cross-Validation
DS5230,Python
DS5230,R
DS5230,MATLAB
DS5230,Algorithms
DS5500,Data Wrangling
DS5500,Machine Learning
CS6120,Tokenization
CS6120,Transformers
CS6120,BERT
CS6120,GPT
CS6120,Sentiment Analysis
CS6120,Python
CS6130,Emotion Recognition
CS6130,Biosignal Processing
CS6130,Ethics
CS6130,Python
CS6130,MATLAB
CS6140,Regression
CS6140,Classification
CS6140,Feature Engineering
CS6140,Scikit-learn
CS6140,Python
CS6200,Search Algorithms
CS6200,TF-IDF
CS6200,PageRank
CS6200,Elasticsearch
CS6220,Classification
CS6220,Prediction
CS6220,Ensemble methods
CS6240,MapReduce
CS6240,Hadoop
CS6240,Spark
CS6240,Distributed Computing
CS6240,Cloud Platforms
CS6240,AWS
CS6350,Methods for conducting empirical research
CS6410,Lexical Analysis
CS6410,Parsing
CS6410,Code Generation
CS6410,LLVM
CS6510,Large-scale projects
CS6510,Microservices
CS6510,Docker
CS6510,Kubernetes
CS6510,DevOps
CS6510,API Design
CS6620,AWS
CS6620,Azure
CS6620,Virtualization
CS6620,Serverless Architecture
CS6620,Infrastructure as Code
CS6620,Terraform
CS6640,OS kernel design
CS6640,Kernel Development
CS6640,File Systems
CS6640,Multithreading
CS6640,C
CS6640,Rust
CS6650,Distributed systems
CS6650,Consensus Algorithms
CS6650,Raft
CS6650,Load Balancing
CS6650,CAP Theorem
CS7150,Deep Learning
CS7150,Neural Networks
CS7150,CNN
CS7150,RNN
CS7150,PyTorch
CS7150,TensorFlow
CS7150,GPU Acceleration
CS7200,Applied statistics
CS7200,Bayesian inference
CS7250,Data visualization theory
CS7300,Human subject studies
CS7400,Syntax
CS7400,semantics of programming languages
CS7600,OS structure
CS7600,concurrency
CS7800,Advanced algorithmic techniques
CS7800,NP-Completeness
CS7800,Approximation Algorithms
CS7800,Randomized Algorithms
